NumCPU,User_CPU(s),System_CPU(s),Total_CPU(s),Wall_Time(s),Speedup_Wall,Speedup_CPU,Model,OS_Name,OS_Version,Username,Available_cores,Total_physical_cores,Total_threads,event_size,seed,bins,Start_Date,Start_Time,Finish_Date,Finish_Time,ROOT_version,Python_version,Threads_per_core,Performance_cores,Efficiency_cores,Hyperthreading_enabled,Amdahl_Wall_Time,Amdahl_Speedup
1,45.420565248,0.44823731199999983,45.868802560000006,45.968420375022106,1.0,1.0,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:48:03,2025_Nov_19,17:48:49,6.28/10,3.10.14,1.0,8,4,False,45.968420375022106,1.0
2,0.0037273599999991802,0.018859775999999773,0.022587135999998953,11.93837845895905,3.850474378329455,23.76684176948895,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:48:49,2025_Nov_19,17:49:01,6.28/10,3.10.14,1.0,8,4,False,25.122831500018947,1.8297467932699958
3,0.005062655999999777,0.024484607999999852,0.02954726399999963,8.640619333018549,5.320037673614689,18.30690170739113,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:01,2025_Nov_19,17:49:10,6.28/10,3.10.14,1.0,8,4,False,18.174301875017893,2.529308728948184
4,0.004653055999995104,0.023809280000000044,0.028462335999995148,6.720276291947812,6.840257509962968,18.826159883877168,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:10,2025_Nov_19,17:49:16,6.28/10,3.10.14,1.0,8,4,False,14.700037062517367,3.12709554265233
5,0.005906431999996187,0.032381951999999714,0.0382883839999959,5.328128415974788,8.627498586032507,13.842195553869136,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:16,2025_Nov_19,17:49:22,6.28/10,3.10.14,1.0,8,4,False,12.615478175017051,3.6438111768173207
6,0.008814592000000232,0.05356569599999972,0.06238028799999995,7.658354292041622,6.002388845184583,8.367991932747447,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:22,2025_Nov_19,17:49:29,6.28/10,3.10.14,1.0,8,4,False,11.22577225001684,4.094900497821265
7,0.006778879999998821,0.04140415999999991,0.048183039999998734,4.386500791995786,10.479519451792285,10.825900392617573,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:29,2025_Nov_19,17:49:34,6.28/10,3.10.14,1.0,8,4,False,10.233125160730975,4.492119431063275
8,0.007630847999998025,0.049354751999999724,0.05698559999999775,4.048506500083022,11.354414368379905,9.081948421096358,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:34,2025_Nov_19,17:49:38,6.28/10,3.10.14,1.0,8,4,False,9.488639843766578,4.844574262687437
9,0.009097216000000685,0.05971839999999995,0.06881561600000063,4.4001897079870105,10.4469178434699,7.505849319472729,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:38,2025_Nov_19,17:49:42,6.28/10,3.10.14,1.0,8,4,False,8.909595708349823,5.159428315242384
10,0.009953279999997733,0.06849459199999997,0.0784478719999977,4.350338084041141,10.566631716200057,6.54412704582575,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:42,2025_Nov_19,17:49:46,6.28/10,3.10.14,1.0,8,4,False,8.446360400016419,5.442393906721379
11,0.011694079999998053,0.0850636800000002,0.09675775999999825,4.387911166995764,10.476151094575357,5.269432406404223,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:46,2025_Nov_19,17:49:51,6.28/10,3.10.14,1.0,8,4,False,8.06734969319818,5.698082037249412
12,0.011821055999995167,0.08032819200000008,0.09214924799999524,4.277242625015788,10.747208986035117,5.580074701544377,Apple M2 Pro,macOS,26.0.1,umit,12,12,12,10k,1010,200,2025_Nov_19,17:49:51,2025_Nov_19,17:49:55,6.28/10,3.10.14,1.0,8,4,False,7.751507437516312,5.93025559809706
